ABB_NAME,Offence Count,Rate
 West Wimmera,155,3900.40
 Yarriambiack,377,5523.00
Total,"74,750",7858.80
 Justice Institutions and Immigration Facilities,"1,041",
Total,"1,041",
 Unincorporated Vic,127,
Total,127,
 Banyule,"9,880",7897.20
 Brimbank,"18,171",9155.60
 Darebin,"13,669",9142.50
 Hobsons Bay,"6,903",7634.60
 Hume,"16,618",8687.90
 Maribyrnong,"8,683",10529.60
 Melbourne,"31,711",24779.10
 Melton,"9,489",7338.20
 Moonee Valley,"8,323",7067.60
 Moreland,"12,384",7546.70
 Nillumbik,"2,116",3335.80
 Whittlesea,"14,053",7479.00
 Wyndham,"13,102",6501.80
 Yarra,"12,296",14096.40
Total,"177,398",9256.50
 Alpine,548,4435.50
 Bass Coast,"2,749",8613.00
 Baw Baw,"3,469",7437.20
 Benalla,"1,147",8253.00
 Boroondara,"7,338",4250.00
 East Gippsland,"3,684",8320.30
 Greater Shepparton,"6,862",10735.50
 Indigo,488,3102.00
 Knox,"9,687",6153.10
 Latrobe,"10,604",14303.80
 Manningham,"4,193",3510.60
 Mansfield,469,5586.70
 Maroondah,"7,338",6585.80
 Mitchell,"3,239",8287.30
 Moira,"1,441",4951.90
 Monash,"8,825",4740.80
 Murrindindi,690,5041.30
 South Gippsland,"1,143",4007.60
 Strathbogie,514,5130.80
 Towong,263,4396.50
 Wangaratta,"2,439",8753.90
 Wellington,"4,091",9525.50
 Whitehorse,"7,375",4488.20
 Wodonga,"3,030",7897.00
 Yarra Ranges,"7,104",4674.70
Total,"98,730",6131.40
 Bayside,"4,259",4267.70
 Cardinia,"5,870",6665.20
 Casey,"16,147",5607.80
 Frankston,"14,885",10930.30
 Glen Eira,"5,640",3925.00
 Greater Dandenong,"15,848",10417.10
 Kingston,"9,578",6211.00
 Mornington Peninsula,"10,108",6458.80
 Port Phillip,"11,323",10840.50
 Stonnington,"9,627",9091.20
Total,"103,285",7228.40
 Ararat,968,8373.70
 Ballarat,"9,795",9803.40
 Buloke,195,3078.10
 Campaspe,"2,731",7314.30
 Central Goldfields,"1,026",7963.40
 Colac-Otway,"1,616",7647.50
 Corangamite,639,3910.60
 Gannawarra,570,5411.00
 Glenelg,"1,578",7987.90
 Golden Plains,503,2406.80
 Greater Bendigo,"8,325",7711.50
 Greater Geelong,"17,106",7511.10
 Hepburn,603,3971.30
 Hindmarsh,218,3730.30
 Horsham,"1,966",9955.40
 Loddon,551,7334.00
 Macedon Ranges,"1,928",4240.10
 Mildura,"5,768",10733.80
 Moorabool,"1,793",5771.60
 Mount Alexander,891,4816.00
 Moyne,626,3791.20
 Northern Grampians,906,7693.00
 Pyrenees,440,6243.80
 Queenscliffe,103,3468.00
 Southern Grampians,"1,081",6650.30
 Surf Coast,"1,304",4516.20
 Swan Hill,"1,933",9231.10
 Warrnambool,"2,645",7841.90
 West Wimmera,160,3962.40
